Zona;Subestación;Nivel de tensión [KV];Fecha;Causa de falla;Duración de la falla [h];Demanda no atendida [KWh];
Norte;Villa_de_Leyva;34,5;02/01/2023 14:37;CONDICIONES ATMOSFERICAS;3;;
Norte;Villa_de_Leyva;34,5;02/01/2023 15:16;ARBOL O RAMA SOBRE RED;3;44,75;
Sur;Villa_de_Leyva;13,2;03/01/2023 9:39;ARBOL O RAMA SOBRE RED;9;21,67;
Norte;Arcabuco;13,2;03/01/2023 13:00;ARBOL O RAMA SOBRE RED;24;63,68;
Norte;Arcabuco;13,2;04/01/2023 7:12;ARBOL O RAMA SOBRE RED;7;184,47;
Sur;Arcabuco;34,5;04/01/2023 7:30;CONDICIONES ATMOSFERICAS;5;6,48;
Norte;Arcabuco;13,2;04/01/2023 13:15;CONDICIONES ATMOSFERICAS;24;161,15;
Norte;Arcabuco;13,2;04/01/2023 16:23;ARBOL O RAMA SOBRE RED;22;;
Sur;Arcabuco;34,5;05/01/2023 12:49;ARBOL O RAMA SOBRE RED;27;13,45;
Norte;Arcabuco;34,5;05/01/2023 14:53;ARBOL O RAMA SOBRE RED;24;136,63;
Norte;Arcabuco;13,2;05/01/2023 15:02;CONDICIONES ATMOSFERICAS;22;336,04;
Sur;Arcabuco;13,2;05/01/2023 17:14;CONDICIONES ATMOSFERICAS;19;0,69;
Norte;Arcabuco;34,5;05/01/2023 17:30;ARBOL O RAMA SOBRE RED;22;;
Norte;Ramiriqui;13,2;05/01/2023 18:16;CONDICIONES ATMOSFERICAS;18;57,19;
Sur;Ramiriqui;34,5;06/01/2023 8:19;CONDICIONES ATMOSFERICAS;7;;
Norte;Ramiriqui;13,2;06/01/2023 10:00;CONDICIONES ATMOSFERICAS;3;;
Norte;Villa_de_Leyva;34,5;06/01/2023 14:55;CONDICIONES ATMOSFERICAS;2;34,48;
Sur;Ramiriqui;13,2;08/01/2023 15:00;CONDICIONES ATMOSFERICAS;21;337,5;
Oriente;Ramiriqui;13,2;09/01/2023 8:18;CONDICIONES ATMOSFERICAS;9;43,76;
Oriente;Ramiriqui;13,2;10/01/2023 8:15;CONDICIONES ATMOSFERICAS;6;55,37;
Oriente;Ramiriqui;34,5;10/01/2023 16:07;CONDICIONES ATMOSFERICAS;22;39,4;
Oriente;Ramiriqui;13,2;10/01/2023 19:40;CONDICIONES ATMOSFERICAS;21;1,47;
Sur;Ramiriqui;13,2;11/01/2023 6:20;CONDICIONES ATMOSFERICAS;12;58,38;
Sur;Ramiriqui;34,5;12/01/2023 17:45;CONDICIONES ATMOSFERICAS;21;62,36;
Sur;Ramiriqui;13,2;13/01/2023 7:25;CONDICIONES ATMOSFERICAS;7;;
Sur;Ramiriqui;13,2;13/01/2023 8:28;CONDICIONES ATMOSFERICAS;9;;
Oriente;Ramiriqui;34,5;13/01/2023 9:20;CONDICIONES ATMOSFERICAS;7;;
Oriente;Umbita;13,2;14/01/2023 8:59;CONDICIONES ATMOSFERICAS;6;;
Oriente;Umbita;13,2;16/01/2023 9:00;FALLA EN REDES DE DISTRIBUCION;8;;
Oriente;Togui;34,5;16/01/2023 10:32;CONDICIONES ATMOSFERICAS;4;200,36;
Oriente;Paipa;13,2;17/01/2023 8:43;CONDICIONES ATMOSFERICAS;6;3,22;
Oriente;Paipa;13,2;17/01/2023 17:41;CONDICIONES ATMOSFERICAS;24;31,55;
Norte;Paipa;34,5;18/01/2023 8:10;CONDICIONES ATMOSFERICAS;31;237,4;
Occidente;Ramiriqui;13,2;18/01/2023 8:24;ARBOL O RAMA SOBRE RED;7;;
Occidente;Ramiriqui;34,5;18/01/2023 12:45;CONDICIONES ATMOSFERICAS;6;16,52;
Occidente;Ramiriqui;13,2;18/01/2023 13:40;ARBOL O RAMA SOBRE RED;4;;
Occidente;Ramiriqui;13,2;18/01/2023 14:35;FALLA EN REDES DE DISTRIBUCION;26;76,46;
Occidente;Ramiriqui;13,2;18/01/2023 14:35;FALLA EN REDES DE DISTRIBUCION;19;25,46;
Norte;Ramiriqui;34,5;18/01/2023 20:47;FALLA EN REDES DE DISTRIBUCION;19;32,15;
Norte;Paipa;34,5;20/01/2023 8:00;ARBOL O RAMA SOBRE RED;4;17,99;
Norte;Paipa;13,2;20/01/2023 8:00;ARBOL O RAMA SOBRE RED;9;21,87;
Occidente;Paipa;13,2;20/01/2023 8:03;CONDICIONES ATMOSFERICAS;24;21,86;
Occidente;Paipa;13,2;20/01/2023 9:53;FALLA EN REDES DE DISTRIBUCION;7;;
Occidente;Paipa;34,5;20/01/2023 15:47;FALLA EN REDES DE DISTRIBUCION;70;7,72;
Occidente;Paipa;13,2;20/01/2023 15:53;FALLA EN REDES DE DISTRIBUCION;24;3,02;
Occidente;Paipa;13,2;20/01/2023 16:20;FALLA EN REDES DE DISTRIBUCION;2;;
Occidente;Paipa;34,5;23/01/2023 7:38;FALLA EN REDES DE DISTRIBUCION;5;91,36;
Occidente;Villa_de_Leyva;13,2;23/01/2023 7:40;CONDICIONES ATMOSFERICAS;11;;
Occidente;Villa_de_Leyva;13,2;23/01/2023 8:03;CONDICIONES ATMOSFERICAS;10;9,97;
Occidente;Villa_de_Leyva;34,5;23/01/2023 11:25;CONDICIONES ATMOSFERICAS;6;28,84;
Occidente;Villa_de_Leyva;34,5;23/01/2023 14:25;CONDICIONES ATMOSFERICAS;0;;
